Country,grade_fra,route_count,color_intensity
Italy,5b+,215,215
Italy,5c,53,53
Italy,5c+,50,50
Italy,6,336,336
Italy,6a,156,156
Italy,6a+,169,169
Italy,6a+/6b,380,380
Italy,6a/+,349,349
Italy,6b,210,210
Italy,6b+,174,174
Italy,6b+/6c,328,328
Italy,6b/+,296,296
Italy,6c,191,191
Italy,6c+,118,118
Italy,6c+/7a,68,68
Italy,6c/+,238,238
Italy,7a,430,430
Italy,7a+,315,315
Italy,7a+/7b,166,166
Italy,7a/+,217,217
Italy,7b,316,316
Italy,7b+,231,231
Italy,7b+/7c,100,100
Italy,7b/+,124,124
Italy,7c,207,207
Italy,7c+,120,120
Italy,7c+/8a,51,51
Italy,7c/+,108,108
Italy,8a,27,27
Italy,8a+,59,59
Italy,8a+/8b,69,69
Italy,8a/+,179,179
Italy,8b,32,32
Italy,8b+,18,18
Italy,8b+/8c,13,13
Italy,8b/+,44,44
Italy,8c,9,9
Italy,8c+,4,4
Italy,8c+/9a,5,5
Italy,8c/+,12,12
Italy,9a,1,1
Italy,9a+,2,2
Italy,9a+/9b,2,2
Italy,9a/+,1,1
Luxembourg,5b+,2,2
Luxembourg,6a+/6b,1,1
Luxembourg,6a/+,1,1
Luxembourg,6b+,1,1
Luxembourg,6b+/6c,1,1
Luxembourg,6b/+,1,1
Luxembourg,6c+/7a,2,2
Luxembourg,6c/+,1,1
Luxembourg,7a,4,4
Luxembourg,7a+/7b,1,1
Luxembourg,7b,3,3
Luxembourg,7b+,3,3
Luxembourg,7b/+,1,1
Luxembourg,7c,3,3
Luxembourg,7c+/8a,5,5
Luxembourg,7c/+,2,2
Luxembourg,8a+,1,1
Luxembourg,8a+/8b,1,1
Luxembourg,8a/+,1,1
Luxembourg,8b/+,1,1
Malta,5a+,1,1
Malta,5b+,1,1
Malta,5c+,1,1
Malta,6,1,1
Malta,6b+,2,2
Malta,7a,1,1
Malta,7a+,1,1
Malta,7b,1,1
Netherlands,6,1,1
Netherlands,6a/+,1,1
Netherlands,7a+,1,1
Norway,5,27,27
Norway,5a,11,11
Norway,5a+,24,24
Norway,5b,10,10
Norway,5b+,34,34
Norway,5c,9,9
Norway,5c+,9,9
Norway,6,44,44
Norway,6a,11,11
Norway,6a+,16,16
Norway,6a+/6b,54,54
Norway,6a/+,12,12
Norway,6b,22,22
Norway,6b+,28,28
Norway,6b+/6c,92,92
Norway,6b/+,76,76
Norway,6c,26,26
Norway,6c+,13,13
Norway,6c+/7a,3,3
Norway,6c/+,77,77
Norway,7a,54,54
Norway,7a+,30,30
Norway,7a+/7b,8,8
Norway,7a/+,19,19
Norway,7b,51,51
Norway,7b+,35,35
Norway,7b+/7c,13,13
Norway,7b/+,20,20
Norway,7c,33,33
Norway,7c+,26,26
Norway,7c+/8a,6,6
Norway,7c/+,15,15
Norway,8a,3,3
Norway,8a+,5,5
Norway,8a+/8b,6,6
Norway,8a/+,16,16
Norway,8b,4,4
Norway,8b+,2,2
Norway,8b+/8c,1,1
Norway,8b/+,11,11
Norway,8c,2,2
Norway,8c+,2,2
Norway,8c+/9a,1,1
Norway,8c/+,1,1
Norway,9b/+,1,1
Poland,5,42,42
Poland,5a,62,62
Poland,5a+,123,123
Poland,5b,60,60
Poland,5b+,155,155
Poland,5c,44,44
Poland,5c+,44,44
Poland,6,245,245
Poland,6a,124,124
Poland,6a+,134,134
Poland,6a+/6b,356,356
Poland,6a/+,273,273
Poland,6b,158,158
Poland,6b+,164,164
Poland,6b+/6c,261,261
Poland,6b/+,302,302
Poland,6c,120,120
Poland,6c+,87,87
Poland,6c+/7a,29,29
Poland,6c/+,204,204
Poland,7a,198,198
Poland,7a+,140,140
Poland,7a+/7b,94,94
Poland,7a/+,104,104
Poland,7b,130,130
Poland,7b+,56,56
Poland,7b+/7c,36,36
Poland,7b/+,45,45
Poland,7c,77,77
Poland,7c+,91,91
Poland,7c+/8a,20,20
Poland,7c/+,27,27
Poland,8a,10,10
Poland,8a+,18,18
Poland,8a+/8b,18,18
Poland,8a/+,34,34
Poland,8b,10,10
Poland,8b+,17,17
Poland,8b+/8c,9,9
Poland,8b/+,14,14
Poland,8c,2,2
Poland,8c+,4,4
Poland,8c/+,6,6
Poland,9a,1,1
Poland,9a/+,1,1
Portugal,5,4,4
Portugal,5a,6,6
Portugal,5a+,15,15
Portugal,5b,7,7
Portugal,5b+,21,21
Portugal,5c,12,12
Portugal,5c+,3,3
Portugal,6,40,40
Portugal,6a,23,23
Portugal,6a+,15,15
Portugal,6a+/6b,33,33
Portugal,6a/+,34,34
Portugal,6b,14,14
Portugal,6b+,14,14
Portugal,6b+/6c,27,27
Portugal,6b/+,29,29
Portugal,6c,17,17
Portugal,6c+,9,9
Portugal,6c+/7a,4,4
Portugal,6c/+,20,20
Portugal,7a,38,38
Portugal,7a+,27,27
Portugal,7a+/7b,17,17
Portugal,7a/+,12,12
Portugal,7b,26,26
Portugal,7b+,25,25
Portugal,7b+/7c,20,20
Portugal,7b/+,18,18
Portugal,7c,13,13
Portugal,7c+,14,14
Portugal,7c+/8a,7,7
Portugal,7c/+,10,10
Portugal,8a,2,2
Portugal,8a+,1,1
Portugal,8a+/8b,1,1
Portugal,8a/+,10,10
Portugal,8b,2,2
Portugal,8b+,1,1
Russia,5,1,1
Russia,5a+,3,3
Russia,5b+,15,15
Russia,5c,3,3
Russia,5c+,1,1
Russia,6,19,19
Russia,6a,5,5
Russia,6a+,14,14
Russia,6a+/6b,23,23
Russia,6a/+,16,16
Russia,6b,5,5
Russia,6b+,9,9
Russia,6b+/6c,21,21
Russia,6b/+,14,14
Russia,6c,10,10
Russia,6c+,6,6
Russia,6c+/7a,3,3
Russia,6c/+,11,11
Russia,7a,12,12
Russia,7a+,17,17
Russia,7a+/7b,5,5
Russia,7a/+,7,7
Russia,7b,13,13
Russia,7b+,12,12
Russia,7b+/7c,4,4
Russia,7b/+,6,6
Russia,7c,9,9
Russia,7c+,4,4
Russia,7c+/8a,1,1
Russia,7c/+,6,6
Russia,8a,1,1
Russia,8a+,2,2
Russia,8a+/8b,3,3
Russia,8a/+,7,7
Russia,8b,1,1
Russia,8b+/8c,1,1
Serbia,5,4,4
Serbia,5a,2,2
Serbia,5a+,6,6
Serbia,5b,1,1
Serbia,5b+,8,8
Serbia,5c,1,1
Serbia,5c+,4,4
Serbia,6,6,6
Serbia,6a,1,1
Serbia,6a+,3,3
Serbia,6a+/6b,7,7
Serbia,6a/+,6,6
Serbia,6b,7,7
Serbia,6b+,6,6
Serbia,6b+/6c,4,4
Serbia,6b/+,9,9
Serbia,6c,1,1
Serbia,6c+,3,3
Serbia,6c+/7a,4,4
Serbia,6c/+,10,10
Serbia,7a,10,10
Serbia,7a+,5,5
Serbia,7a+/7b,6,6
Serbia,7a/+,4,4
Serbia,7b,6,6
Serbia,7b+,6,6
Serbia,7b+/7c,2,2
Serbia,7b/+,4,4
Serbia,7c,3,3
Serbia,7c+,5,5
Serbia,7c+/8a,1,1
Serbia,7c/+,1,1
Serbia,8a,1,1
Serbia,8a+/8b,6,6
Serbia,8a/+,4,4
Serbia,8b,1,1
Slovakia,5,1,1
Slovakia,5a,1,1
Slovakia,5a+,3,3
Slovakia,5b,1,1
Slovakia,5c+,2,2
Slovakia,6,3,3
Slovakia,6a,2,2
Slovakia,6a+,2,2
Slovakia,6a+/6b,7,7
Slovakia,6a/+,4,4
Slovakia,6b,2,2
Slovakia,6b+/6c,1,1
Slovakia,6b/+,2,2
Slovakia,6c,1,1
Slovakia,6c+,4,4
Slovakia,6c/+,3,3
Slovakia,7a,5,5
Slovakia,7a+,3,3
Slovakia,7a+/7b,2,2
Slovakia,7a/+,1,1
Slovakia,7b+,3,3
Slovakia,7b/+,1,1
Slovakia,7c,1,1
Slovakia,7c+,1,1
Slovakia,7c/+,1,1
Slovakia,8a+,1,1
Slovakia,8a+/8b,3,3
Slovakia,8a/+,2,2
Slovenia,5,10,10
Slovenia,5a,11,11
Slovenia,5a+,9,9
Slovenia,5b,12,12
Slovenia,5b+,26,26
Slovenia,5c,13,13
Slovenia,5c+,4,4
Slovenia,6,33,33
Slovenia,6a,25,25
Slovenia,6a+,28,28
Slovenia,6a+/6b,42,42
Slovenia,6a/+,37,37
Slovenia,6b,27,27
Slovenia,6b+,23,23
Slovenia,6b+/6c,40,40
Slovenia,6b/+,37,37
Slovenia,6c,29,29
Slovenia,6c+,17,17
Slovenia,6c+/7a,7,7
Slovenia,6c/+,40,40
Slovenia,7a,49,49
Slovenia,7a+,39,39
Slovenia,7a+/7b,27,27
Slovenia,7a/+,30,30
Slovenia,7b,35,35
Slovenia,7b+,38,38
Slovenia,7b+/7c,22,22
Slovenia,7b/+,28,28
Slovenia,7c,28,28
Slovenia,7c+,21,21
Slovenia,7c+/8a,11,11
Slovenia,7c/+,15,15
Slovenia,8a,8,8
Slovenia,8a+,12,12
Slovenia,8a+/8b,23,23
Slovenia,8a/+,22,22
Slovenia,8b,5,5
Slovenia,8b+,13,13
Slovenia,8b+/8c,10,10
Slovenia,8b/+,17,17
Slovenia,8c,5,5
Slovenia,8c+,4,4
Slovenia,8c+/9a,4,4
Slovenia,8c/+,5,5
Slovenia,9a,3,3
Slovenia,9a+,2,2
Spain,5,58,58
Spain,5a,51,51
Spain,5a+,224,224
Spain,5b,119,119
Spain,5b+,415,415
Spain,5c,140,140
Spain,5c+,82,82
Spain,6,677,677
Spain,6a,375,375
Spain,6a+,370,370
Spain,6a+/6b,737,737
Spain,6a/+,681,681
Spain,6b,446,446
Spain,6b+,414,414
Spain,6b+/6c,740,740
Spain,6b/+,658,658
Spain,6c,426,426
Spain,6c+,288,288
Spain,6c+/7a,172,172
Spain,6c/+,526,526
Spain,7a,1007,1007
Spain,7a+,777,777
Spain,7a+/7b,467,467
Spain,7a/+,584,584
Spain,7b,735,735
Spain,7b+,627,627
Spain,7b+/7c,325,325
Spain,7b/+,442,442
Spain,7c,463,463
Spain,7c+,337,337
Spain,7c+/8a,184,184
Spain,7c/+,268,268
Spain,8a,95,95
Spain,8a+,220,220
Spain,8a+/8b,225,225
Spain,8a/+,424,424
Spain,8b,120,120
Spain,8b+,69,69
Spain,8b+/8c,64,64
Spain,8b/+,114,114
Spain,8c,33,33
Spain,8c+,20,20
Spain,8c+/9a,27,27
Spain,8c/+,42,42
Spain,9a,7,7
Spain,9a+,9,9
Spain,9a+/9b,2,2
Spain,9a/+,5,5
Spain,9b,2,2
Sweden,5,9,9
Sweden,5a,6,6
Sweden,5a+,22,22
Sweden,5b,11,11
Sweden,5b+,22,22
Sweden,5c,9,9
Sweden,5c+,5,5
Sweden,6,27,27
Sweden,6a,27,27
Sweden,6a+,8,8
Sweden,6a+/6b,28,28
Sweden,6a/+,17,17
Sweden,6b,14,14
Sweden,6b+,10,10
Sweden,6b+/6c,45,45
Sweden,6b/+,46,46
Sweden,6c,13,13
Sweden,6c+,7,7
Sweden,6c+/7a,7,7
Sweden,6c/+,31,31
Sweden,7a,23,23
Sweden,7a+,13,13
Sweden,7a+/7b,5,5
Sweden,7a/+,10,10
Sweden,7b,19,19
Sweden,7b+,13,13
Sweden,7b+/7c,6,6
Sweden,7b/+,9,9
Sweden,7c,9,9
Sweden,7c+,10,10
Sweden,7c/+,3,3
Sweden,8a,2,2
Sweden,8a+,2,2
Sweden,8a+/8b,4,4
Sweden,8a/+,10,10
Sweden,8b,3,3
Sweden,8b/+,1,1
Switzerland,5,3,3
Switzerland,5a,2,2
Switzerland,5a+,5,5
Switzerland,5b,6,6
Switzerland,5b+,16,16
Switzerland,5c,3,3
Switzerland,5c+,5,5
Switzerland,6,32,32
Switzerland,6a,11,11
Switzerland,6a+,13,13
Switzerland,6a+/6b,46,46
Switzerland,6a/+,34,34
Switzerland,6b,18,18
Switzerland,6b+,14,14
Switzerland,6b+/6c,55,55
Switzerland,6b/+,46,46
Switzerland,6c,20,20
Switzerland,6c+,11,11
Switzerland,6c+/7a,11,11
Switzerland,6c/+,36,36
Switzerland,7a,76,76
Switzerland,7a+,41,41
Switzerland,7a+/7b,16,16
Switzerland,7a/+,32,32
Switzerland,7b,65,65
Switzerland,7b+,31,31
Switzerland,7b+/7c,14,14
Switzerland,7b/+,20,20
Switzerland,7c,43,43
Switzerland,7c+,10,10
Switzerland,7c+/8a,12,12
Switzerland,7c/+,15,15
Switzerland,8a,4,4
Switzerland,8a+,1,1
Switzerland,8a+/8b,10,10
